Rank,Commander,Deck_Count
1418,The Second Doctor // Vislor Turlough,540
1419,Surrak and Goreclaw,539
1420,"Ghost of Ramirez DePietro // Tormod, the Desecrator",538
1421,"Kura, the Boundless Sky",538
1422,Saffi Eriksdotter,537
1423,"Circu, Dimir Lobotomist",537
1424,Haktos the Unscarred,535
1425,"Moraug, Fury of Akoum",535
1426,God-Eternal Kefnet,535
1427,"Ich-Tekik, Salvage Splicer // Rebbec, Architect of Ascension",534
1428,"Ikra Shidiqi, the Usurper // Kraum, Ludevic's Opus",534
1429,The Odd Acorn Gang,533
1430,"Nashi, Searcher in the Dark",533
1431,"Alrund, God of the Cosmos",532
1432,"Akim, the Soaring Wind",532
1433,"Squee, the Immortal",531
1434,The Sixth Doctor // Peri Brown,531
1435,"Gisela, the Broken Blade",531
1436,"Kemba, Kha Enduring",530
1437,"Akiri, Line-Slinger // Thrasios, Triton Hero",529
1438,"Feather, Radiant Arbiter",529
1439,"Hugs, Grisly Guardian",529
1440,Hazezon Tamar,527
1441,"Reyav, Master Smith",527
1442,"Muzzio, Visionary Architect",526
1443,"Tivash, Gloom Summoner",526
1444,"Curie, Emergent Intelligence",523
1445,"Thassa, God of the Sea",521
1446,"Jolrael, Mwonvuli Recluse",519
1447,"Thrasta, Tempest's Roar",518
1448,"Zul Ashur, Lich Lord",518
1449,"Byrke, Long Ear of the Law",517
1450,"Ishai, Ojutai Dragonspeaker // Tana, the Bloodsower",516
1451,Ob Nixilis of the Black Oath,514
1452,The Space Family Goblinson,514
1453,"Wrexial, the Risen Deep",514
1454,"Thalia, Guardian of Thraben",513
1455,Cult of Skaro,513
1456,"Jadar, Ghoulcaller of Nephalia",513
1457,"Nadaar, Selfless Paladin",512
1458,"Kazuul, Tyrant of the Cliffs",512
1459,"Temmet, Vizier of Naktamun",511
1460,"Nazahn, Revered Bladesmith",511
1461,"Baeloth Barrityl, Entertainer // Clan Crafter",508
1462,"Ravos, Soultender // Tymna the Weaver",508
1463,Honest Rutstein,507
1464,The Third Doctor // Sarah Jane Smith,506
1465,"Jaheira, Friend of the Forest // Agent of the Iron Throne",504
1466,"Gregor, Shrewd Magistrate",504
1467,Sol'kanar the Swamp King,503
1468,Sakashima the Impostor,501
1469,Elrond of the White Council,500
1470,"Burakos, Party Leader // Guild Artisan",499
1471,Krydle of Baldur's Gate,499
1472,"Multani, Yavimaya's Avatar",499
1473,"Gilanra, Caller of Wirewood // Vial Smasher the Fierce",498
1474,"Ardenn, Intrepid Archaeologist // Kediss, Emberclaw Familiar",494
1475,"Jeska, Thrice Reborn // Yoshimaru, Ever Faithful",493
1476,Thrakkus the Butcher,492
1477,Ertai Resurrected,492
1478,The Meep,492
1479,"Renari, Merchant of Marvels // Acolyte of Bahamut",492
1480,The Twelfth Doctor // Clara Oswald,490
1481,"Miriam, Herd Whisperer",490
1482,"Akiri, Line-Slinger // Ardenn, Intrepid Archaeologist",487
1483,"Vhal, Candlekeep Researcher // Raised by Giants",487
1484,"Reyhan, Last of the Abzan // Rograkh, Son of Rohgahh",486
1485,"Gandalf, Friend of the Shire",485
1486,"Gut, True Soul Zealot // Haunted One",482
1487,Captain Ripley Vance,481
1488,"Ib Halfheart, Goblin Tactician",480
1489,"Grazilaxx, Illithid Scholar",479
1490,"Hanna, Ship's Navigator",478
1491,"Francisco, Fowl Marauder // Kraum, Ludevic's Opus",477
1492,"Gwafa Hazid, Profiteer",477
1493,"Dargo, the Shipwrecker // Tevesh Szat, Doom of Fools",477
1494,"Danitha, New Benalia's Light",476
1495,"Ishai, Ojutai Dragonspeaker // Kodama of the East Tree",476
1496,The Red Terror,476
1497,The Twelfth Doctor // Vislor Turlough,474
1498,"Multani, Maro-Sorcerer",473
1499,"Keleth, Sunmane Familiar // Rograkh, Son of Rohgahh",473
1500,"Kwende, Pride of Femeref",472
1501,"Gríma, Saruman's Footman",471
1502,The Tenth Doctor // Clara Oswald,470
1503,"Timothar, Baron of Bats",469
1504,General Kudro of Drannith,467
1505,Patron of the Kitsune,464
1506,Bladewing the Risen,462
1507,"Bruse Tarl, Roving Rancher",461
1508,Urabrask the Hidden,461
1509,Malfegor,461
1510,"Nashi, Moon Sage's Scion",461
1511,Illuminor Szeras,460
1512,Dragonlord Dromoka,459
1513,"The Master, Formed Anew",459
1514,Moira and Teshar,459
1515,Medomai the Ageless,458
1516,"Cait, Cage Brawler",457
1517,Rhonas the Indomitable,456
1518,"Beza, the Bounding Spring",454
1519,"Ulasht, the Hate Seed",454
1520,Sisters of Stone Death,453
1521,"Renata, Called to the Hunt",451
1522,"Kamber, the Plunderer // Laurine, the Diversion",451
1523,Hazoret the Fervent,449
1524,"Linden, the Steadfast Queen",448
1525,Sapling of Colfenor,448
1526,"Cecily, Haunted Mage",445
1527,"Troyan, Gutsy Explorer",445
1528,"Najal, the Storm Runner",444
1529,"Neheb, Dreadhorde Champion",444
1530,The Face of Boe,444
1531,"Rip, Spawn Hunter",444
1532,"Piper Wright, Publick Reporter",443
1533,Old Gnawbone,443
1534,"Shadowheart, Dark Justiciar // Haunted One",441
1535,"Bilbo, Retired Burglar",441
1536,"Wilson, Refined Grizzly // Agent of the Shadow Thieves",440
1537,"Ezrim, Agency Chief",439
1538,Patron of the Orochi,438
1539,"Varis, Silverymoon Ranger",438
1540,"Kurkesh, Onakke Ancient",437
1541,"Bennie Bracks, Zoologist",437
1542,"Kogla, the Titan Ape",437
1543,"Lita, Mechanical Engineer",436
1544,"Losheel, Clockwork Scholar",436
1545,"Ishai, Ojutai Dragonspeaker // Tevesh Szat, Doom of Fools",436
1546,Gwaihir the Windlord,436
1547,"Drana, Kalastria Bloodchief",434
1548,"Sarevok, Deathbringer // Raised by Giants",434
1549,"Karlach, Fury of Avernus // Cultist of the Absolute",434
1550,"Tourach, Dread Cantor",433
1551,"Ich-Tekik, Salvage Splicer // Toggo, Goblin Weaponsmith",433
1552,"Torsten, Founder of Benalia",433
1553,"Oviya Pashiri, Sage Lifecrafter",431
1554,Soraya the Falconer,430
1555,"Kraum, Ludevic's Opus // Thrasios, Triton Hero",428
1556,"Ob Nixilis, Unshackled",428
1557,Farmer Cotton,427
1558,Pashalik Mons,427
1559,"Jeska, Thrice Reborn // Thrasios, Triton Hero",425
1560,"Uvilda, Dean of Perfection",424
1561,"Forge, Neverwinter Charlatan",424
1562,"Izoni, Center of the Web",424
1563,"Gerrard, Weatherlight Hero",423
1564,"Sauron, the Lidless Eye",422
1565,"Ikra Shidiqi, the Usurper // Ishai, Ojutai Dragonspeaker",422
1566,"Abdel Adrian, Gorion's Ward // Agent of the Iron Throne",421
1567,Isperia the Inscrutable,421
1568,"Brinelin, the Moon Kraken // Gilanra, Caller of Wirewood",420
1569,"Ikra Shidiqi, the Usurper // Sidar Kondo of Jamuraa",418
1570,"Kamahl, Fist of Krosa",417
1571,"Valentin, Dean of the Vein",416
1572,The Swarmweaver,416
1573,"Dargo, the Shipwrecker // Ikra Shidiqi, the Usurper",415
1574,Mary Read and Anne Bonny,415
1575,"Kodama of the East Tree // Kraum, Ludevic's Opus",414
1576,"Taigam, Sidisi's Hand",412
1577,"Éomer, King of Rohan",410
1578,Neyam Shai Murad,410
1579,"Ravos, Soultender // Thrasios, Triton Hero",409
1580,"Callaphe, Beloved of the Sea",408
1581,"Kellogg, Dangerous Mind",406
1582,"Goro-Goro, Disciple of Ryusei",405
1583,"Yargle, Glutton of Urborg",405
1584,The Thirteenth Doctor // Ryan Sinclair,405
1585,"Shaun, Father of Synths",404
1586,"Toby, Beastie Befriender",404
1587,"Thurid, Mare of Destiny",402
1588,"Drana, Liberator of Malakir",401
1589,"Michiko Konda, Truth Seeker",401
1590,"Naru Meha, Master Wizard",400
1591,"Imaryll, Elfhame Elite",399
1592,The Wandering Rescuer,399
1593,Hope of Ghirapur,399
1594,"Halvar, God of Battle",399
1595,Xira Arien,398
1596,"Ludevic, Necro-Alchemist // Sidar Kondo of Jamuraa",397
1597,"Torgaar, Famine Incarnate",396
1598,"Kraum, Ludevic's Opus // Vial Smasher the Fierce",396
1599,"Geth, Lord of the Vault",395
1600,"Kaho, Minamo Historian",394
1601,"Dargo, the Shipwrecker // Silas Renn, Seeker Adept",394
1602,"The Second Doctor // Leela, Sevateem Warrior",393
1603,"Lyzolda, the Blood Witch",393
1604,"Mauhúr, Uruk-hai Captain",393
1605,"Krark, the Thumbless // Kydele, Chosen of Kruphix",393
1606,"Selvala, Eager Trailblazer",391
1607,"Exava, Rakdos Blood Witch",391
1608,"Strong, the Brutish Thespian",390
1609,"Chisei, Heart of Oceans",389
1610,"Fumulus, the Infestation",389
1611,"Djeru, With Eyes Open",387
1612,"Norin, Swift Survivalist",387
1613,"Tymaret, the Murder King",386
1614,"Risona, Asari Commander",385
1615,"Kalitas, Traitor of Ghet",384
1616,"Sakashima of a Thousand Faces // Yoshimaru, Ever Faithful",384
1617,"Anafenza, Kin-Tree Spirit",382
1618,"Heliod, God of the Sun",380
1619,"Ishai, Ojutai Dragonspeaker // Vial Smasher the Fierce",380
1620,"Ezio, Blade of Vengeance",380
1621,"Cyclonus, the Saboteur",380
1622,"Polukranos, Unchained",379
1623,"Shanna, Sisay's Legacy",379
1624,Kefnet the Mindful,377
1625,"Annie Flash, the Veteran",374
1626,"Asmira, Holy Avenger",374
1627,"The War Doctor // K-9, Mark I",374
1628,"Alena, Kessig Trapper // Halana, Kessig Ranger",371
1629,Ambassador Blorpityblorpboop,371
1630,"Jaheira, Friend of the Forest // Clan Crafter",370
1631,"Jeska, Thrice Reborn // Tevesh Szat, Doom of Fools",370
1632,Anax and Cymede,369
1633,"Faramir, Steward of Gondor",369
1634,"Lorcan, Warlock Collector",369
1635,"Armix, Filigree Thrasher // Ich-Tekik, Salvage Splicer",368
1636,Asmodeus the Archfiend,368
1637,"Ob Nixilis, the Fallen",366
1638,"Ravos, Soultender // Tormod, the Desecrator",366
1639,Sol'Kanar the Tainted,366
1640,"Kydele, Chosen of Kruphix // Thrasios, Triton Hero",366
1641,"Neva, Stalked by Nightmares",365
1642,"Kydele, Chosen of Kruphix // Ravos, Soultender",365
1643,"Enkira, Hostile Scavenger",365
1644,"Kellan, Inquisitive Prodigy",364
1645,"Ardenn, Intrepid Archaeologist // Silas Renn, Seeker Adept",363
1646,"Dromar, the Banisher",363
1647,Peregrin Took,363
1648,"Silumgar, the Drifting Death",362
1649,Vhati il-Dal,362
1650,"Frodo, Determined Hero",359
1651,"Ertha Jo, Frontier Mentor",359
1652,The Dalek Emperor,357
1653,The Tenth Doctor // Susan Foreman,356
1654,Catti-brie of Mithral Hall,355
1655,"Gorex, the Tombshell",354
1656,"Junji, the Midnight Sky",353
1657,Apothecary White,353
1658,"Tesak, Judith's Hellhound",352
1659,"Krark, the Thumbless // Silas Renn, Seeker Adept",352
1660,"Stonebrow, Krosan Hero",351
1661,"Craig Boone, Novac Guard",350
1662,"Ludevic, Necro-Alchemist // Tymna the Weaver",348
1663,"Odric, Blood-Cursed",348
1664,"Armix, Filigree Thrasher // Kraum, Ludevic's Opus",346
1665,"Rasputin, the Oneiromancer",346
1666,"Halana, Kessig Ranger // Tymna the Weaver",346
1667,"Maeve, Insidious Singer",345
1668,"Zetalpa, Primal Dawn",345
1669,"Bruse Tarl, Boorish Herder // Kamahl, Heart of Krosa",342
1670,"Azor, the Lawbringer",340
1671,"Grakmaw, Skyclave Ravager",339
1672,"Miara, Thorn of the Glade // Numa, Joraga Chieftain",338
1673,"Adamaro, First to Desire",336
1674,Haytham Kenway,336
1675,"Lazav, Familiar Stranger",335
1676,"Errant, Street Artist",335
1677,"Akawalli, the Seething Tower",335
1678,"Mikaeus, the Lunarch",334
1679,Erestor of the Council,333
1680,Sharae of Numbing Depths,333
1681,"Bruse Tarl, Boorish Herder // Malcolm, Keen-Eyed Navigator",332
1682,"Jaya Ballard, Task Mage",329
1683,The Tarrasque,329
1684,Kodama of the East Tree // Vial Smasher the Fierce,328
1685,"Korlessa, Scale Singer",328
1686,"Karlach, Fury of Avernus // Agent of the Shadow Thieves",326
1687,"Rootha, Mercurial Artist",324
1688,"Falthis, Shadowcat Familiar // Kediss, Emberclaw Familiar",324
1689,"Claire D'Loon, Joy Sculptor",324
1690,"Vorosh, the Hunter",323
1691,"Katilda, Dawnhart Martyr",322
1692,"Aboshan, Cephalid Emperor",321
1693,Uglúk of the White Hand,321
1694,"Tura Kennerüd, Skyknight",320
1695,Kinzu of the Bleak Coven,320
1696,"Dralnu, Lich Lord",319
1697,"General Kreat, the Boltbringer",318
1698,"Gollum, Scheming Guide",318
1699,"Saryth, the Viper's Fang",318
1700,"Kairi, the Swirling Sky",318
1701,"Lae'zel, Vlaakith's Champion // Noble Heritage",317
1702,"Teferi, Mage of Zhalfir",315
1703,"Sachi, Daughter of Seshiro",315
1704,Márton Stromgald,313
1705,"Alharu, Solemn Ritualist // Reyhan, Last of the Abzan",313
1706,"Ishai, Ojutai Dragonspeaker // Thrasios, Triton Hero",313
1707,"Ormos, Archive Keeper",312
1708,"Katsumasa, the Animator",312
1709,"Ganax, Astral Hunter // Haunted One",312
1710,"Targ Nar, Demon-Fang Gnoll",311
1711,"Ravos, Soultender // Reyhan, Last of the Abzan",311
1712,"Keskit, the Flesh Sculptor // Toggo, Goblin Weaponsmith",310
1713,Nebuchadnezzar,309
1714,"Whisper, Blood Liturgist",309
1715,"Keiga, the Tide Star",308
1716,"Mavinda, Students' Advocate",308
1717,"Sidar Kondo of Jamuraa // Silas Renn, Seeker Adept",307
1718,The Haunt of Hightower,307
1719,"Thryx, the Sudden Storm",306
1720,"Mizzix, Replica Rider",306
1721,"Karlach, Fury of Avernus // Veteran Soldier",306
1722,"Dromoka, the Eternal",305
1723,"Kitsa, Otterball Elite",304
1724,"Gale, Waterdeep Prodigy // Passionate Archaeologist",304
1725,"Kydele, Chosen of Kruphix // Tevesh Szat, Doom of Fools",303
1726,"Shessra, Death's Whisper",302
1727,"Ardenn, Intrepid Archaeologist // Toggo, Goblin Weaponsmith",301
1728,"Jaheira, Friend of the Forest // Guild Artisan",301
1729,"Padeem, Consul of Innovation",301
1730,"Danitha Capashen, Paragon",301
1731,"Bruse Tarl, Boorish Herder // Reyhan, Last of the Abzan",301
1732,"Cynette, Jelly Drover",299
1733,"Tevesh Szat, Doom of Fools // Tymna the Weaver",299
1734,"Brigid, Hero of Kinsbaile",298
1735,"Drana, the Last Bloodchief",297
1736,"Tyvar, the Pummeler",297
1737,"Lily Bowen, Raging Grandma",296
1738,Colonel Autumn,296
1739,"Tori D'Avenant, Fury Rider",295
1740,"Aron, Benalia's Ruin",294
1741,"Adriana, Captain of the Guard",294
1742,Celestial Kirin,293
1743,"Akroma, Vision of Ixidor // Kamahl, Heart of Krosa",293
1744,"Zellix, Sanity Flayer // Agent of the Iron Throne",292
1745,"Diaochan, Artful Beauty",292
1746,"Zellix, Sanity Flayer // Scion of Halaster",291
1747,"Sidar Kondo of Jamuraa // Tana, the Bloodsower",291
1748,"Takeno, Samurai General",290
1749,"Halsin, Emerald Archdruid // Inspiring Leader",289
1750,"Nogi, Draco-Zealot",288
1751,"Kraum, Ludevic's Opus // Tormod, the Desecrator",288
1752,"Norika Yamazaki, the Poet",288
1753,"Kunoros, Hound of Athreos",287
1754,"Anara, Wolvid Familiar // Yoshimaru, Ever Faithful",287
1755,Gimli of the Glittering Caves,286
1756,"Treva, the Renewer",286
1757,"Nadier, Agent of the Duskenel // Tana, the Bloodsower",285
1758,"Bill Ferny, Bree Swindler",285
1759,Fumiko the Lowblood,284
1760,"Brimaz, King of Oreskos",283
1761,Mistform Ultimus,283
1762,"Jor Kadeen, the Prevailer",283
1763,"Lulu, Loyal Hollyphant // Master Chef",282
1764,"Lulu, Loyal Hollyphant // Cultist of the Absolute",282
1765,"Sekki, Seasons' Guide",282
1766,Tibor and Lumia,281
1767,"Sengir, the Dark Baron // Tevesh Szat, Doom of Fools",281
1768,"Kodama of the East Tree // Ravos, Soultender",281
1769,"Volo, Itinerant Scholar // Haunted One",281
1770,Daghatar the Adamant,279
1771,"Baird, Argivian Recruiter",278
1772,"Kraum, Ludevic's Opus // Reyhan, Last of the Abzan",278
1773,"Kaheera, the Orphanguard",278
1774,"Blitzwing, Cruel Tormentor",276
1775,"Reyhan, Last of the Abzan // Tana, the Bloodsower",276
1776,"Nils, Discipline Enforcer",276
1777,"Nylea, God of the Hunt",275
1778,The Twelfth Doctor // Susan Foreman,275
1779,"Ixidor, Reality Sculptor",275
1780,"Sierra, Nuka's Biggest Fan",274
1781,"Vial Smasher, Gleeful Grenadier",274
1782,"Reyhan, Last of the Abzan // Sakashima of a Thousand Faces",273
1783,"Erebos, Bleak-Hearted",273
1784,Mageta the Lion,273
1785,"Egon, God of Death",273
1786,"Fain, the Broker",272
1787,"Ich-Tekik, Salvage Splicer // Ishai, Ojutai Dragonspeaker",272
1788,"Bjorna, Nightfall Alchemist // Othelm, Sigardian Outcast",272
1789,"Rishkar, Peema Renegade",272
1790,"Anax, Hardened in the Forge",271
1791,"Armix, Filigree Thrasher // Thrasios, Triton Hero",271
1792,"Hurkyl, Master Wizard",270
1793,"Deekah, Fractal Theorist",270
1794,"Jolrael, Empress of Beasts",269
1795,"Johann, Apprentice Sorcerer",268
1796,"Hua Tuo, Honored Physician",268
1797,"Zalto, Fire Giant Duke",268
1798,Triad of Fates,268
1799,Demonlord Belzenlok,267
1800,Dragonlord Silumgar,267
1801,"Burakos, Party Leader // Sword Coast Sailor",267
1802,"Ben-Ben, Akki Hermit",267
1803,Lavinia of the Tenth,267
1804,"Ishai, Ojutai Dragonspeaker // Kraum, Ludevic's Opus",266
1805,"Anowon, the Ruin Sage",265
1806,"Akroma, Vision of Ixidor // Sakashima of a Thousand Faces",265
1807,"Tiana, Ship's Caretaker",265
1808,"Lavinia, Foil to Conspiracy",264
1809,"Harald, King of Skemfar",264
1810,"Ikra Shidiqi, the Usurper // Rograkh, Son of Rohgahh",263
1811,"Simon, Wild Magic Sorcerer",263
1812,"Kozilek, the Broken Reality",263
1813,Taniwha,262
1814,"Sakashima of a Thousand Faces // Tevesh Szat, Doom of Fools",262
1815,"Falthis, Shadowcat Familiar // Yoshimaru, Ever Faithful",261
1816,"Aragorn, Company Leader",261
1817,"Linvala, Shield of Sea Gate",261
1818,"Ulamog, the Infinite Gyre",259
1819,"Hakim, Loreweaver",258
1820,"Aphemia, the Cacophony",258
1821,"Ich-Tekik, Salvage Splicer // Silas Renn, Seeker Adept",256
1822,"Kataki, War's Wage",255
1823,Maraxus of Keld,255
1824,Vaevictis Asmadi,254
1825,"Danitha, Benalia's Hope",254
1826,"Kodama of the East Tree // Thrasios, Triton Hero",254
1827,"Vhal, Candlekeep Researcher // Passionate Archaeologist",254
1828,"Kianne, Corrupted Memory",253
1829,"Kodama of the East Tree // Tevesh Szat, Doom of Fools",253
1830,"Niambi, Esteemed Speaker",253
1831,Darigaaz Reincarnated,253
1832,"Vona, Butcher of Magan",252
1833,Adun Oakenshield,252
1834,Iname as One,252
1835,"Oros, the Avenger",251
1836,"Feldon, Ronom Excavator",251
1837,"Karlach, Fury of Avernus // Guild Artisan",249
1838,Evie Frye // Jacob Frye,249
1839,"Tawnos, Urza's Apprentice",248
1840,"Ludevic, Necrogenius",248
1841,Gwendlyn Di Corci,246
1842,"Drakuseth, Maw of Flames",246
1843,"Bruse Tarl, Boorish Herder // Tymna the Weaver",244
1844,"Malcolm, Keen-Eyed Navigator // Sakashima of a Thousand Faces",243
1845,"Kellan, Daring Traveler",243
1846,"Wilson, Refined Grizzly // Tavern Brawler",242
1847,"Vish Kal, Blood Arbiter",242
1848,Arasta of the Endless Web,242
1849,"Ardenn, Intrepid Archaeologist // Vial Smasher the Fierce",242
1850,"Wyll, Blade of Frontiers // Dungeon Delver",242
1851,"Kira, Great Glass-Spinner",241
1852,"Gadwick, the Wizened",240
1853,"Éowyn, Fearless Knight",240
1854,Rakdos the Defiler,240
1855,"Volo, Itinerant Scholar // Folk Hero",240
1856,The Fugitive Doctor // Martha Jones,240
1857,Caparocti Sunborn,239
1858,"Vorthos, Steward of Myth",237
1859,"Shadowheart, Dark Justiciar // Cloakwood Hermit",237
1860,"Karlach, Fury of Avernus // Master Chef",237
1861,"Jeska, Thrice Reborn // Vial Smasher the Fierce",235
1862,"Sigarda, Heron's Grace",235
1863,"Ash, Party Crasher",235
1864,"Lulu, Loyal Hollyphant // Guild Artisan",234
1865,Bontu the Glorified,232
1866,"Moira Brown, Guide Author",231
1867,"Ikra Shidiqi, the Usurper // Ludevic, Necro-Alchemist",231
1868,Tromokratis,230
1869,"Butch DeLoria, Tunnel Snake",230
1870,The Third Doctor // Dan Lewis,229
1871,"Baeloth Barrityl, Entertainer // Cultist of the Absolute",228
1872,"Sarevok, Deathbringer // Cultist of the Absolute",228
1873,Tuya Bearclaw,228
1874,"Eligeth, Crossroads Augur // Esior, Wardwing Familiar",227
1875,Chromium,227
1876,"Ozox, the Clattering King",227
1877,Prince Imrahil the Fair,226
1878,Rasaad yn Bashir // Sword Coast Sailor,225
1879,"Thrasios, Triton Hero // Tormod, the Desecrator",225
1880,"Gale, Waterdeep Prodigy // Master Chef",225
1881,"Abdel Adrian, Gorion's Ward // Street Urchin",224
1882,"Garna, the Bloodflame",224
1883,"Silas Renn, Seeker Adept // Toggo, Goblin Weaponsmith",224
1884,"Brigone, Soldier of Meletis",223
1885,Johan,221
1886,Senator Peacock,221
1887,"Ink-Eyes, Servant of Oni",221
1888,"Kentaro, the Smiling Cat",221
1889,Sidar Kondo of Jamuraa // Vial Smasher the Fierce,220
1890,"Tana, the Bloodsower // Yoshimaru, Ever Faithful",220
1891,"Esior, Wardwing Familiar // Yoshimaru, Ever Faithful",220
1892,"Kraum, Ludevic's Opus // Ludevic, Necro-Alchemist",220
1893,"Ganax, Astral Hunter // Dragon Cultist",220
1894,"Ikra Shidiqi, the Usurper // Sakashima of a Thousand Faces",220
1895,Barrowin of Clan Undurr,220
1896,Loran of the Third Path,219
1897,"Tajic, Legion's Edge",219
1898,Old One Eye,219
1899,"Akroma, Vision of Ixidor // Ikra Shidiqi, the Usurper",218
1900,"Kraum, Violent Cacophony",218
1901,"Baeloth Barrityl, Entertainer // Criminal Past",218
1902,God-Eternal Bontu,218
1903,Danny Pink,216
1904,"Mannichi, the Fevered Dream",216
1905,Trostani Discordant,216
1906,Old Man Willow,216
1907,"Szadek, Lord of Secrets",216
1908,"Shabraz, the Skyshark",216
1909,"Syr Elenora, the Discerning",215
1910,"Rayne, Academy Chancellor",215
1911,"Breeches, Brazen Plunderer // Francisco, Fowl Marauder",215
1912,"Lobelia, Defender of Bag End",214
1913,Frodo Baggins,214
1914,"Legolas, Counter of Kills",214
1915,Rosie Cotton of South Lane,213
1916,"Esior, Wardwing Familiar // Tymna the Weaver",213
1917,"Karlach, Fury of Avernus // Haunted One",213
1918,"Kodama of the East Tree // Livio, Oathsworn Sentinel",212
1919,"Kumano, Master Yamabushi",212
1920,"Merry, Esquire of Rohan",211
1921,"Taeko, the Patient Avalanche",211
1922,"Wilson, Refined Grizzly // Sword Coast Sailor",211
1923,Arcades Sabboth,210
1924,"The Master, Mesmerist",210
1925,"Melira, Sylvok Outcast",210
1926,"Basandra, Battle Seraph",209
1927,"Kolaghan, the Storm's Fury",209
1928,"Haakon, Stromgald Scourge",208
1929,"Karlach, Fury of Avernus // Tavern Brawler",208
1930,"Sarevok, Deathbringer // Noble Heritage",208
1931,"Zellix, Sanity Flayer // Inspiring Leader",207
1932,"Ebondeath, Dracolich",206
1933,"Melira, the Living Cure",205
1934,"Slobad, Goblin Tinkerer",204
1935,"Bell Borca, Spectral Sergeant",204
1936,"Slinn Voda, the Rising Deep",204
1937,"Dargo, the Shipwrecker // Reyhan, Last of the Abzan",203
1938,"Xiahou Dun, the One-Eyed",203
1939,Captain Vargus Wrath,203
1940,"Ravos, Soultender // Sakashima of a Thousand Faces",203
1941,Wilfred Mott,202
1942,"Anara, Wolvid Familiar // Falthis, Shadowcat Familiar",201
1943,"Imoen, Mystic Trickster // Far Traveler",201
1944,"Sakiko, Mother of Summer",201
1945,"Jeska, Thrice Reborn // Kediss, Emberclaw Familiar",201
1946,"Sakashima of a Thousand Faces // Tana, the Bloodsower",201
1947,"Sanwell, Avenger Ace",201
1948,"Francisco, Fowl Marauder // Ishai, Ojutai Dragonspeaker",200
1949,"Akiri, Line-Slinger // Ich-Tekik, Salvage Splicer",200
1950,"Jetfire, Ingenious Scientist",199
1951,"Elmar, Ulvenwald Informant // Sophina, Spearsage Deserter",198
1952,"Denethor, Ruling Steward",198
1953,Starke of Rath,198
1954,"Jeska, Thrice Reborn // Kamahl, Heart of Krosa",198
1955,Emissary Green,198
1956,"Maga, Traitor to Mortals",196
1957,"Ganax, Astral Hunter // Agent of the Iron Throne",196
1958,The Fifth Doctor // Susan Foreman,195
1959,"Bruse Tarl, Boorish Herder // Silas Renn, Seeker Adept",195
1960,"Iraxxa, Empress of Mars",195
1961,"Shizuko, Caller of Autumn",195
1962,"Keleth, Sunmane Familiar // Reyhan, Last of the Abzan",194
1963,"Shadowheart, Dark Justiciar // Inspiring Leader",194
1964,"Legate Lanius, Caesar's Ace",194
1965,"Baeloth Barrityl, Entertainer // Agent of the Shadow Thieves",194
1966,"Rassilon, the War President",194
1967,"Nemata, Grove Guardian",194
1968,"Kodama of the East Tree // Yoshimaru, Ever Faithful",194
1969,"Razaketh, the Foulblooded",193
1970,Tolsimir Wolfblood,193
1971,"Kamahl, Heart of Krosa // Kodama of the East Tree",193
1972,"Iymrith, Desert Doom",191
1973,Arcade Gannon,190
1974,"Shaile, Dean of Radiance",190
1975,"Surtr, Fiery Jötun",190
1976,"Thalia, Heretic Cathar",190
1977,"Ludevic, Necro-Alchemist // Ravos, Soultender",190
1978,"Ardenn, Intrepid Archaeologist // Yoshimaru, Ever Faithful",189
1979,"Storrev, Devkarin Lich",189
1980,"Orcus, Prince of Undeath",188
1981,Sentinel Sarah Lyons,188
1982,"Palladia-Mors, the Ruiner",188
1983,"Ivora, Insatiable Heir",188
1984,"Dennick, Pious Apprentice",187
1985,The War Doctor // Susan Foreman,187
1986,"Dargo, the Shipwrecker // Keskit, the Flesh Sculptor",186
1987,"Akiri, Line-Slinger // Francisco, Fowl Marauder",186
1988,"Kazarov, Sengir Pureblood",186
1989,Lim-Dûl the Necromancer,186
1990,"Vogar, Necropolis Tyrant",186
1991,"Ojutai, Soul of Winter",186
1992,"Ardenn, Intrepid Archaeologist // Thrasios, Triton Hero",185
1993,Masako the Humorless,185
1994,"Akiri, Line-Slinger // Armix, Filigree Thrasher",184
1995,"Ganax, Astral Hunter // Far Traveler",184
1996,"Livaan, Cultist of Tiamat // Sword Coast Sailor",184
1997,"Akal Pakal, First Among Equals",184
1998,"Molimo, Maro-Sorcerer",184
1999,"Ukkima, Stalking Shadow",184
2000,"Gale, Waterdeep Prodigy // Raised by Giants",183
2001,Oketra the True,183
2002,"Karlach, Fury of Avernus // Inspiring Leader",183
2003,"Brinelin, the Moon Kraken // Ikra Shidiqi, the Usurper",183
2004,"Akiri, Line-Slinger // Tymna the Weaver",183
2005,"Nadier, Agent of the Duskenel // Numa, Joraga Chieftain",182
2006,Henrika Domnathi,182
2007,"Rona, Disciple of Gix",181
2008,"Raul, Trouble Shooter",180
2009,"Akroma, Angel of Fury",180
2010,"Bruse Tarl, Boorish Herder // Kodama of the East Tree",179
2011,"Uchbenbak, the Great Mistake",179
2012,"Volo, Itinerant Scholar // Acolyte of Bahamut",179
2013,"Arcee, Sharpshooter",179
2014,Arni Metalbrow,178
2015,"Anya, Merciless Angel",177
2016,Gabriel Angelfire,177
2017,"Orca, Siege Demon",177
2018,"Llawan, Cephalid Empress",176
2019,The First Doctor // Susan Foreman,176
